Country Name,Country Code,Series Name,Series Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,AFG,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,511.9531575,..,..,..,..,..,..
Afghanistan,AFG,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1310.518164,1393.259696,1612.152501,1805.11011,2003.279252,2075.526102,2191.211893,2332.645641,2433.313826,2622.461452,2739.250977,2940.284802,2975.900559,3144.372002,3160.11594,3137.873123,3227.629161,3255.269617,3267.217515,3375.090437,3450.987469,3587.791709,3629.349025,..,..
Albania,ALB,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.313650126,15.71084027,11.96894267,10.97823018,3.606429267,5.573805685,6.454590187,4.315622678,7.773252425,4.45343156,7.339007145,1.211302958,5.661191943,0.500702146,-0.703860789,2.860410031,0.856370267,0.367032523,3.301675546,2.248740693,3.964205636,1.158297912,..,..
Algeria,DZA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..,..,..,1642.303921,1667.429602,1799.974468,1701.671702,1868.015202,1843.505842,1878.420352,1924.70453,2076.895747,1851.741883,2352.323218,2724.204953,2728.96344,2860.476114,2828.578173,2859.530081,2505.698402,2174.940696,2026.087973,2017.729941,1977.592671,1940.500383,1876.715858,1698.345661,1659.326884,1631.982179,1614.001223,1642.556201,1683.470115,1668.974142,1908.589013,2026.199225,2083.696645,2235.246036,2348.433097,2527.942933,2731.930609,2948.803596,3075.286371,2966.455255,3372.561933,3371.386963,3595.084333,3520.6589,3464.370178,3295.627682,3456.005783,3527.712149,3514.824668,3569.830772,..,..
Algeria,DZA,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,1.529904443,7.949053195,-5.461342225,9.775299164,-1.312053589,1.893919152,2.463994702,7.907250958,-10.84088428,27.0329974,15.80912576,0.174674321,4.819143847,-1.115126967,1.094256773,-12.37377013,-13.20022018,-6.843989959,-0.412520685,-1.989229065,-1.875628312,-3.2870143,-9.504379496,-2.297457913,-1.647939595,-1.101786323,1.769204223,2.490868466,-0.861076934,14.35701517,6.162154954,2.837698226,7.273102434,5.063740614,7.643813037,8.069314933,7.938451496,4.289291293,-3.538893716,13.68996473,-0.034839116,6.635173375,-2.070199908,-1.598812158,-4.870798633,4.866390147,2.074833503,-0.365321228,1.564974352,..,..
American Samoa,ASM,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
